x;sin;cos;ctg;csc;sec;trig_f;ln;log2;log10;logarithm;main
-4,9;0,982351626;0,187043534;0,190403852;1,017965435;5,346348945;1,452046615;;;;;1,452046615
-4,8;0,996096203;0,088274308;0,088620263;1,003919096;11,32832448;1,192886431;;;;;1,192886431
-4,7;1,0006265;-0,035403281;-0,035381114;0,999373892;-28,24596989;0,92923934;;;;;0,92923934
-4,6;0,994180173;-0,107730139;-0,10836078;1,005853895;-9,282453434;0,806626281;;;;;0,806626281
-4,5;0,977867639;-0,209224473;-0,213959911;1,022633289;-4,779555602;0,661633902;;;;;0,661633902
-4,4;0,951833001;-0,306616925;-0,322133111;1,050604465;-3,261398565;0,553517459;;;;;0,553517459
-4,3;0,916322543;-0,400441003;-0,437008787;1,09131878;-2,497246767;0,477312103;;;;;0,477312103
-4,2;0,871681;-0,490073704;-0,562216802;1,14720867;-2,040509402;0,431826364;;;;;0,431826364
-4,1;0,818347133;-0,574724255;-0,702298855;1,22197532;-1,739964846;0,418933941;;;;;0,418933941
-4;0,756027512;-0,65453984;-0,865761933;1,322703188;-1,527790884;0,44644226;;;;;0,44644226
-3,9;0,687234564;-0,726435582;-1,057041685;1,455107255;-1,376584553;0,530962408;;;;;0,530962408
-3,8;0,61149685;-0,791246866;-1,293950845;1,6353314;-1,263828071;0,712478701;;;;;0,712478701
-3,7;0,529593486;-0,848251578;-1,601703196;1,888240749;-1,178895537;1,081577475;;;;;1,081577475
-3,6;0,442359144;-0,896837994;-2,02739789;2,260606601;-1,115028585;1,859864813;;;;;1,859864813
-3,5;0,350677249;-0,936496379;-2,670536461;2,851624974;-1,067809788;3,667717535;;;;;3,667717535
-3,4;0,255472323;-0,966816369;-3,78442705;3,914318344;-1,034322578;8,68776789;;;;;8,68776789
-3,3;0,158585531;-0,987345243;-6,225947814;6,30574549;-1,012816952;28,28538119;;;;;28,28538119
-3,2;0,058938783;-0,998261599;-16,93726175;16,96675678;-1,001741428;254,9928382;;;;;254,9928382
-3,1;-0,041205868;-0,999150678;24,24777668;-24,26838837;-1,000850044;638,4485294;;;;;638,4485294
-3;-0,140874594;-0,990027448;7,027721744;-7,098512021;-1,010073005;65,42447074;;;;;65,42447074
-2,9;-0,239090953;-0,970997176;4,061204172;-4,182508736;-1,029869112;26,55862319;;;;;26,55862319
-2,8;-0,334887521;-0,942258111;2,813655489;-2,986077228;-1,061280331;15,43181854;;;;;15,43181854
-2,7;-0,427317;-0,904101865;2,115763858;-2,340183049;-1,106070056;10,5253846;;;;;10,5253846
-2,6;-0,516382277;-0,856358187;1,658380283;-1,936549809;-1,167735669;7,800335076;;;;;7,800335076
-2,5;-0,599046199;-0,800714463;1,336648933;-1,669320332;-1,248884648;6,101071887;;;;;6,101071887
-2,4;-0,675830696;-0,737056897;1,090593993;-1,479660521;-1,35674736;4,913836113;;;;;4,913836113
-2,3;-0,745936017;-0,666017612;0,892861581;-1,340597555;-1,501461797;4,026504425;;;;;4,026504425
-2,2;-0,808638349;-0,58830606;0,727526787;-1,236646767;-1,699795511;3,330452821;;;;;3,330452821
-2,1;-0,863294689;-0,504700188;0,584620981;-1,158353008;-1,981374336;2,765745933;;;;;2,765745933
-2;-0,909347443;-0,416037533;0,457512182;-1,099689682;-2,403629292;2,297428989;;;;;2,297428989
-1,9;-0,945439366;-0,325798104;0,344599681;-1,057709289;-3,069385571;1,914092707;;;;;1,914092707
-1,8;-0,973316777;-0,229465578;0,235756316;-1,027414736;-4,357952117;1,579748124;;;;;1,579748124
-1,7;-0,991346443;-0,131271589;0,132417471;-1,008729095;-7,617794613;1,299601558;;;;;1,299601558
-1,6;-0,999388566;-0,034964174;0,034985565;-1,000611808;-28,6007044;1,072417614;;;;;1,072417614
